id,text,sentiment
1,I hate this 😡,negative
2,Never buying again so it works well 😡,negative
3,Never buying again so the quality is great dislike,negative
4,Highly recommend it 😊,positive
5,Terrible experience and customer service helped,negative
6,Awful quality,negative
7,Completely unsatisfied 😡,negative
8,Best purchase ever,positive
9,One star as the quality is great 😡,negative
10,Terrible experience so bad,negative
11,Very disappointed,negative
12,I hate this and customer service helped 👎,negative
13,It works as expected so shipping was fast,neutral
14,Highly recommend it as packaging was good amazing,positive
15,Highly recommend it 👍,positive
16,Highly recommend it 👍,positive
17,Awful quality,negative
18,Absolutely fantastic experience,positive
19,Terrible experience because shipping was fast so bad,negative
20,Will buy again,positive
21,Never buying again horrible,negative
22,Satisfactory,neutral
23,This made my day,positive
24,Top quality and great value great!,positive
25,Satisfactory alright,neutral
26,Will buy again 😊,positive
27,Worst purchase ever so bad,negative
28,Will buy again 👍,positive
29,Worst purchase ever so bad,negative
30,I love this product 😊,positive
31,Never buying again so the quality is great,negative
32,Absolutely fantastic experience great!,positive
33,Terrible experience as it works well 😡,negative
34,Highly recommend it because it works well pleasant,positive
35,Will buy again,positive
36,Would not recommend horrible,negative
37,Five stars so customer service helped,positive
38,Will buy again 😊,positive
39,"Just saying, Standard ok",neutral
40,Never buying again and the quality is great 👎,negative
41,Absolutely fantastic experience,positive
42,Absolutely fantastic experience,positive
43,Neutral experience ok,neutral
44,Very disappointed,negative
45,"FYI, Top quality and great value",positive
46,Would not recommend,negative
47,Highly recommend it,positive
48,Satisfactory as it works well,neutral
49,Absolutely fantastic experience loved it,positive
50,Worst purchase ever,negative
51,I love this product so customer service helped loved it,positive
52,Very disappointed so packaging was good,negative
53,Highly recommend it,positive
54,Highly recommend it as it works well,positive
55,Absolutely fantastic experience so packaging was good,positive
56,Highly recommend it,positive
57,This made my day so good,positive
58,Very disappointed and shipping was fast,negative
59,Exceeded my expectations because the quality is great 😊,positive
60,Absolutely fantastic experience so good,positive
61,Never buying again and it works well,negative
62,Very disappointed so customer service helped,negative
63,"Just saying, Never buying again because customer service helped terrible!",negative
64,Worst purchase ever and customer service helped,negative
65,So happy with the service,positive
66,Never buying again so shipping was fast,negative
67,Very disappointed,negative
68,Top quality and great value great!,positive
69,Exceeded my expectations,positive
70,Very disappointed,negative
71,Worst purchase ever 😡,negative
72,Exceeded my expectations,positive
73,Completely unsatisfied so shipping was fast 😡,negative
74,Absolutely fantastic experience pleasant,positive
75,I hate this,negative
76,Exceeded my expectations,positive
77,Fine for the price,neutral
78,Never buying again horrible,negative
79,Best purchase ever pleasant,positive
80,Very disappointed,negative
81,Will buy again because the quality is great 😊,positive
82,Five stars so shipping was fast pleasant,positive
83,Standard so-so,neutral
84,This made my day so shipping was fast,positive
85,Note: Worst purchase ever terrible!,negative
86,One star,negative
87,"Just saying, Satisfactory so packaging was good",neutral
88,Exceeded my expectations as shipping was fast great!,positive
89,One star so customer service helped,negative
90,"Just saying, I hate this so bad",negative
91,I love this product 👍,positive
92,Exceeded my expectations,positive
93,This ruined my day and the quality is great,negative
94,So happy with the service,positive
95,Neutral experience because it works well,neutral
96,"Just saying, Terrible experience",negative
97,This made my day as it works well,positive
98,This made my day,positive
99,Will buy again pleasant,positive
100,Awful quality,negative
101,Terrible experience so the quality is great,negative
102,This ruined my day as the quality is great dislike,negative
103,Top quality and great value 👍,positive
104,Best purchase ever pleasant,positive
105,Awful quality dislike,negative
106,Very disappointed awful,negative
107,Will buy again so customer service helped 😊,positive
108,Absolutely fantastic experience,positive
109,Exceeded my expectations as it works well,positive
110,So happy with the service because customer service helped 👍,positive
111,Would not recommend,negative
112,So happy with the service 😊,positive
113,Exceeded my expectations and shipping was fast amazing,positive
114,"FYI, Highly recommend it",positive
115,Five stars,positive
116,Awful quality awful,negative
117,Top quality and great value and the quality is great,positive
118,Best purchase ever and the quality is great great!,positive
119,I hate this as shipping was fast 😡,negative
120,Completely unsatisfied,negative
121,"FYI, Would not recommend",negative
122,Completely unsatisfied,negative
123,So happy with the service,positive
124,Terrible experience,negative
125,I hate this and customer service helped,negative
126,Will buy again,positive
127,Awful quality terrible!,negative
128,Would not recommend so customer service helped,negative
129,I hate this dislike,negative
130,Never buying again horrible,negative
131,Best purchase ever,positive
132,I love this product because customer service helped so good,positive
133,Top quality and great value,positive
134,Five stars and shipping was fast,positive
135,So happy with the service pleasant,positive
136,Awful quality awful,negative
137,Terrible experience so customer service helped,negative
138,Very disappointed,negative
139,Would not recommend dislike,negative
140,Awful quality,negative
141,Five stars so it works well great!,positive
142,One star,negative
143,I love this product as it works well,positive
144,Awful quality because shipping was fast,negative
145,So happy with the service so it works well,positive
146,One star,negative
147,Never buying again and the quality is great,negative
148,Average product .,neutral
149,I hate this and customer service helped terrible!,negative
150,Note: Completely unsatisfied 😡,negative
151,Worst purchase ever,negative
152,Awful quality and shipping was fast,negative
153,Exceeded my expectations,positive
154,Neither good nor bad alright,neutral
155,Five stars,positive
156,Five stars and packaging was good,positive
157,Neutral experience ,neutral
158,Would not recommend,negative
159,Exceeded my expectations as the quality is great loved it,positive
160,Best purchase ever as packaging was good,positive
161,Exceeded my expectations pleasant,positive
162,Absolutely fantastic experience because shipping was fast,positive
163,Five stars and shipping was fast so good,positive
164,This ruined my day because shipping was fast awful,negative
165,Terrible experience so bad,negative
166,Highly recommend it and customer service helped,positive
167,Will buy again so customer service helped,positive
168,No strong feelings,neutral
169,Awful quality,negative
170,Worst purchase ever,negative
171,This made my day,positive
172,Best purchase ever,positive
173,Note: Best purchase ever,positive
174,Highly recommend it pleasant,positive
175,Best purchase ever pleasant,positive
176,It was okay because the quality is great,neutral
177,Note: I love this product as the quality is great,positive
178,Five stars,positive
179,Never buying again 😡,negative
180,Will buy again and it works well,positive
181,"FYI, Absolutely fantastic experience",positive
182,Highly recommend it as packaging was good,positive
183,Top quality and great value amazing,positive
184,Terrible experience,negative
185,Worst purchase ever,negative
186,One star terrible!,negative
187,Highly recommend it 👍,positive
188,Absolutely fantastic experience 😊,positive
189,Never buying again,negative
190,One star,negative
191,This ruined my day because the quality is great,negative
192,Will buy again as packaging was good great!,positive
193,"Just saying, Standard",neutral
194,Very disappointed as customer service helped,negative
195,Highly recommend it 😊,positive
196,Average product alright,neutral
197,So happy with the service,positive
198,I love this product and it works well so good,positive
199,One star and customer service helped dislike,negative
200,Never buying again terrible!,negative
201,Best purchase ever because the quality is great,positive
202,Exceeded my expectations great!,positive
203,"Just saying, Will buy again",positive
204,I love this product loved it,positive
205,One star so it works well,negative
206,"FYI, Fine for the price",neutral
207,Top quality and great value pleasant,positive
208,This made my day so good,positive
209,This ruined my day because the quality is great dislike,negative
210,Terrible experience so shipping was fast,negative
211,Top quality and great value,positive
212,It works as expected and shipping was fast ok,neutral
213,Note: This ruined my day terrible!,negative
214,"Just saying, Terrible experience",negative
215,Awful quality,negative
216,Top quality and great value great!,positive
217,Fine for the price as it works well,neutral
218,Exceeded my expectations,positive
219,So happy with the service as packaging was good so good,positive
220,Absolutely fantastic experience loved it,positive
221,Completely unsatisfied awful,negative
222,Neither good nor bad,neutral
223,Terrible experience so customer service helped,negative
224,Never buying again so packaging was good dislike,negative
225,It works as expected ,neutral
226,So happy with the service pleasant,positive
227,Never buying again as packaging was good terrible!,negative
228,Note: Top quality and great value great!,positive
229,Worst purchase ever,negative
230,Worst purchase ever horrible,negative
231,Neutral experience so shipping was fast,neutral
232,One star,negative
233,So happy with the service so customer service helped,positive
234,Terrible experience because customer service helped awful,negative
235,Best purchase ever,positive
236,Five stars 👍,positive
237,Absolutely fantastic experience,positive
238,So happy with the service pleasant,positive
239,"FYI, Awful quality",negative
240,Never buying again,negative
241,Worst purchase ever and the quality is great horrible,negative
242,Exceeded my expectations amazing,positive
243,Very disappointed,negative
244,Absolutely fantastic experience amazing,positive
245,Note: Never buying again terrible!,negative
246,Neither good nor bad .,neutral
247,Terrible experience,negative
248,Will buy again because shipping was fast,positive
249,Highly recommend it so it works well 👍,positive
250,This ruined my day,negative
251,"Just saying, Very disappointed because customer service helped horrible",negative
252,Absolutely fantastic experience great!,positive
253,One star because shipping was fast,negative
254,"Just saying, Very disappointed",negative
255,"Not bad, not great .",neutral
256,Exceeded my expectations so good,positive
257,This made my day so good,positive
258,Average product so-so,neutral
259,I hate this so it works well 😡,negative
260,Five stars 😊,positive
261,It works as expected ,neutral
262,So happy with the service and it works well,positive
263,Will buy again as shipping was fast amazing,positive
264,Fine for the price because it works well alright,neutral
265,This ruined my day,negative
266,So happy with the service,positive
267,This ruined my day 😡,negative
268,Exceeded my expectations as shipping was fast,positive
269,Terrible experience so shipping was fast,negative
270,Terrible experience as it works well so bad,negative
271,Will buy again 😊,positive
272,It was okay,neutral
